latitude,longitude,weight,irrigated,crop
62.01,129.01,73,True,wheat
62.01,129.01027,912,True,wheat
62.01,129.01054,961,True,wheat
62.01,129.01081,670,True,soy
62.01,129.01108,674,True,wheat
62.01,129.01135,122,True,corn
62.01,129.01162,395,False,soy
62.01,129.01189,54,False,wheat
62.01027,129.01,861,False,corn
62.01027,129.01027,931,True,corn
62.01027,129.01054,432,False,wheat
62.01027,129.01081,964,True,wheat
62.01027,129.01108,859,False,corn
62.01027,129.01135,965,False,wheat
62.01027,129.01162,77,True,soy
62.01027,129.01189,699,True,wheat
62.01054,129.01,259,False,corn
62.01054,129.01027,927,True,soy
62.01054,129.01054,852,True,wheat
62.01054,129.01081,900,True,corn
62.01054,129.01108,590,False,wheat
62.01054,129.01135,393,True,wheat
62.01054,129.01162,956,False,wheat
62.01054,129.01189,432,True,corn
62.01081,129.01,136,True,corn
62.01081,129.01027,862,False,wheat
62.01081,129.01054,27,False,soy
62.01081,129.01081,400,True,soy
62.01081,129.01108,684,False,wheat
62.01081,129.01135,882,False,wheat
62.01081,129.01162,573,False,corn
62.01081,129.01189,768,False,soy
62.01108,129.01,491,True,wheat
62.01108,129.01027,319,False,corn
62.01108,129.01054,711,True,wheat
62.01108,129.01081,437,True,corn
62.01108,129.01108,748,True,corn
62.01108,129.01135,760,True,soy
62.01108,129.01162,876,True,wheat
62.01108,129.01189,235,False,wheat
62.01135,129.01,641,False,wheat
62.01135,129.01027,74,False,wheat
62.01135,129.01054,0,True,corn
62.01135,129.01081,463,True,wheat
62.01135,129.01108,869,False,corn
62.01135,129.01135,235,True,wheat
62.01135,129.01162,451,True,wheat
62.01135,129.01189,206,False,soy
62.01162,129.01,617,True,wheat
62.01162,129.01027,980,False,soy
62.01162,129.01054,581,True,soy
62.01162,129.01081,522,True,corn
62.01162,129.01108,875,False,corn
62.01162,129.01135,302,True,wheat
62.01162,129.01162,352,False,corn
62.01162,129.01189,898,True,corn
62.01189,129.01,774,True,corn
62.01189,129.01027,396,False,wheat
62.01189,129.01054,762,False,soy
62.01189,129.01081,939,True,corn
62.01189,129.01108,930,False,soy
62.01189,129.01135,165,False,corn
62.01189,129.01162,511,False,soy
62.01189,129.01189,56,False,corn
